close,high,low,open,time,volume
2361.3,2362.4,2361.1,2362.4,1777861680,905
2361.5,2364.1,2361.5,2364.1,1777861620,62
2362.6,2362.6,2360.1,2360.1,1777861560,1384
2360.55,2361.85,2360.55,2361.4,1777861500,313
2364.1,2365.0,2364.1,2364.75,1777861440,1617
2365.3,2366.1,2364.8,2366.1,1777861380,3494
2368.45,2370.65,2368.25,2368.65,1777861320,2371
2367.3,2367.85,2366.7,2367.85,1777861260,880
2369.9,2371.1,2365.0,2365.0,1777861200,5472
2365.0,2365.0,2360.65,2360.65,1777861140,1943
2359.8,2365.95,2359.8,2359.9,1777861080,6415
2359.6,2359.6,2359.6,2359.6,1777861020,1
2355.9,2358.8,2355.9,2358.8,1777860960,1935
2360.45,2361.0,2360.0,2360.0,1777860900,2054
2359.15,2359.15,2359.15,2359.15,1777860840,45
2359.8,2359.8,2358.75,2358.75,1777860780,546
2359.0,2359.0,2359.0,2359.0,1777860720,277
2356.45,2356.45,2356.45,2356.45,1777860660,0
2356.45,2359.05,2356.45,2359.05,1777860600,2333
2360.3,2360.3,2356.35,2356.35,1777860540,758
2354.95,2355.15,2354.95,2355.15,1777860480,355
2354.2,2354.65,2353.0,2354.4,1777860420,1718
2354.25,2354.25,2352.45,2352.45,1777860360,503
2354.1,2356.05,2353.6,2353.6,1777860300,1548
2353.2,2355.5,2349.65,2350.15,1777860240,7218
2347.05,2348.6,2346.3,2346.3,1777860180,717
2343.85,2348.0,2343.85,2347.95,1777860120,1148
2348.5,2352.4,2347.05,2352.4,1777860060,1647
2352.45,2362.4,2352.45,2354.2,1777860000,14754
2347.8,2347.8,2347.8,2347.8,1777859940,10
2344.1,2344.1,2344.1,2344.1,1777859880,55
2342.85,2344.0,2342.85,2344.0,1777859820,300
2340.3,2353.6,2336.0,2347.4,1777859760,8937
2347.3,2347.55,2339.0,2339.0,1777859700,2847
2338.45,2338.45,2338.0,2338.0,1777859640,30
